Name	Type	Subtype	CMC	Power	Toughness	Text	Sets
Nivix Cyclops	Creature	Cyclops	3	1	4	Defender Whenever you cast an instant or sorcery spell, Nivix Cyclops gets +3/+0 until end of turn and can attack this turn as though it didn't have defender.	DGM
Ethereal Usher	Creature	Spirit	6	2	3	{U}, {T}: Target creature can't be blocked this turn. Transmute {1}{U}{U} ({1}{U}{U}, Discard this card: Search your library for a card with the same converted mana cost as this card, reveal it, and put it into your hand. Then shuffle your library. Transmute only as a sorcery.)	RAV
Nylea's Emissary	Enchantment Creature	Cat	4	3	3	Bestow {5}{G} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.) Trample Enchanted creature gets +3/+3 and has trample.	THS
Boros Reckoner	Creature	Minotaur Wizard	3	3	3	Whenever Boros Reckoner is dealt damage, it deals that much damage to target creature or player. {R/W}: Boros Reckoner gains first strike until end of turn.	GTC
Orcish Lumberjack	Creature	Orc	1	1	1	{T}, Sacrifice a Forest: Add three mana in any combination of {R} and/or {G} to your mana pool.	ICE CST ME2 DDL VMA
Battleground Geist	Creature	Spirit	5	3	3	Flying Other Spirit creatures you control get +1/+0.	ISD
Avenger en-Dal	Creature	Human Spellshaper	2	1	1	{2}{W}, {T}, Discard a card: Exile target attacking creature. Its controller gains life equal to its toughness.	NMS
Mons's Goblin Waiters	Creature	Goblin Waiter	1	1	1	Sacrifice a creature or land: Add {hr} to your mana pool.	UNH
Cephalid Vandal	Creature	Cephalid Rogue	2	1	1	At the beginning of your upkeep, put a shred counter on Cephalid Vandal. Then put the top card of your library into your graveyard for each shred counter on Cephalid Vandal.	TOR
Gloomhunter	Creature	Bat	3	2	1	Flying	ROE
Wolfbriar Elemental	Creature	Elemental	4	4	4	Multikicker {G} (You may pay an additional {G} any number of times as you cast this spell.) When Wolfbriar Elemental enters the battlefield, put a 2/2 green Wolf creature token onto the battlefield for each time it was kicked.	WWK CNS C14 MM2
Molten Primordial	Creature	Avatar	7	6	4	Haste When Molten Primordial enters the battlefield, for each opponent, gain control of up to one target creature that player controls until end of turn. Untap those creatures. They gain haste until end of turn.	GTC
Giant Tortoise	Creature	Turtle	2	1	1	Giant Tortoise gets +0/+3 as long as it's untapped.	ARN 4ED MED ME4
Arrogant Vampire	Creature	Vampire	5	4	3	Flying	POR
Mantis Engine	Artifact Creature	Insect	5	3	3	{2}: Mantis Engine gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.) {2}: Mantis Engine gains first strike until end of turn. (It deals combat damage before creatures without first strike.)	UDS 10E
Ondu Cleric	Creature	Kor Cleric Ally	2	1	1	Whenever Ondu Cleric or another Ally enters the battlefield under your control, you may gain life equal to the number of Allies you control.	ZEN
The Wretched	Creature	Demon	5	2	5	At end of combat, gain control of all creatures blocking The Wretched for as long as you control The Wretched.	LEG CHR 5ED ME3
Phyrexian War Beast	Artifact Creature	Beast	3	3	4	When Phyrexian War Beast leaves the battlefield, sacrifice a land and Phyrexian War Beast deals 1 damage to you.	ALL DKM MED
Urborg Phantom	Creature	Spirit Minion	3	3	1	Urborg Phantom can't block. {U}: Prevent all combat damage that would be dealt to and dealt by Urborg Phantom this turn.	INV
Axebane Stag	Creature	Elk	7	6	7		RTR
Firehoof Cavalry	Creature	Human Berserker	1	1	1	{3}{R}: Firehoof Cavalry gets +2/+0 and gains trample until end of turn.	KTK
Pathbreaker Wurm	Creature	Wurm	6	6	4	Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.) As long as Pathbreaker Wurm is paired with another creature, both creatures have trample.	AVR
Heartlash Cinder	Creature	Elemental Warrior	2	1	1	Haste Chroma — When Heartlash Cinder enters the battlefield, it gets +X/+0 until end of turn, where X is the number of red mana symbols in the mana costs of permanents you control.	EVE
Rot Shambler	Creature	Fungus	2	1	1	Whenever another creature you control dies, put a +1/+1 counter on Rot Shambler.	BFZ
Brine Elemental	Creature	Elemental	6	5	4	Morph {5}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Brine Elemental is turned face up, each opponent skips his or her next untap step.	TSP DD2 C14 DD3_JVC
Gravebane Zombie	Creature	Zombie	4	3	2	If Gravebane Zombie would die, put Gravebane Zombie on top of its owner's library instead.	MIR 6ED
Drudge Beetle	Creature	Insect	2	2	2	Scavenge {5}{G} ({5}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)	RTR
Nantuko Vigilante	Creature	Insect Druid Mutant	4	3	2	Morph {1}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Nantuko Vigilante is turned face up, destroy target artifact or enchantment.	LGN
Sootwalkers	Creature	Elemental Rogue	4	3	3	Sootwalkers can't be blocked by white creatures.	SHM
Sphinx of Jwar Isle	Creature	Sphinx	6	5	5	Flying Shroud (This creature can't be the target of spells or abilities.) You may look at the top card of your library. (You may do this at any time.)	ZEN C14
Malakir Cullblade	Creature	Vampire Warrior	2	1	1	Whenever a creature an opponent controls dies, put a +1/+1 counter on Malakir Cullblade.	ORI
Crosis, the Purger	Creature	Dragon	6	6	6	Flying Whenever Crosis, the Purger deals combat damage to a player, you may pay {2}{B}. If you do, choose a color, then that player reveals his or her hand and discards all cards of that color.	INV PD3
Gristle Grinner	Creature	Zombie	5	3	3	Whenever a creature dies, Gristle Grinner gets +2/+2 until end of turn.	CSP
Architects of Will	Artifact Creature	Human Wizard	4	3	3	When Architects of Will enters the battlefield, look at the top three cards of target player's library, then put them back in any order. Cycling {U/B} ({U/B}, Discard this card: Draw a card.)	ARB ARC
Hagra Crocodile	Creature	Crocodile	4	3	1	Hagra Crocodile can't block. Landfall — Whenever a land enters the battlefield under your control, Hagra Crocodile gets +2/+2 until end of turn.	ZEN
Riptide Chronologist	Creature	Human Wizard	5	1	3	{U}, Sacrifice Riptide Chronologist: Untap all creatures of the creature type of your choice.	ONS
Uthden Troll	Creature	Troll	3	2	2	{R}: Regenerate Uthden Troll.	LEA LEB 2ED CED CEI 3ED 4ED ATH BRB TSB
Blistering Barrier	Creature	Wall	3	5	2	Defender (This creature can't attack.)	MIR
Soliton	Artifact Creature	Construct	5	3	4	{U}: Untap Soliton.	SOM
Bringer of the White Dawn	Creature	Bringer	9	5	5	You may pay {W}{U}{B}{R}{G} rather than pay Bringer of the White Dawn's mana cost. Trample At the beginning of your upkeep, you may return target artifact card from your graveyard to the battlefield.	5DN
Rith, the Awakener	Creature	Dragon	6	6	6	Flying Whenever Rith, the Awakener deals combat damage to a player, you may pay {2}{G}. If you do, choose a color, then put a 1/1 green Saproling creature token onto the battlefield for each permanent of that color.	INV DRB DDE
Mana Leech	Creature	Leech	3	1	1	You may choose not to untap Mana Leech during your untap step. {T}: Tap target land. It doesn't untap during its controller's untap step for as long as Mana Leech remains tapped.	USG
Seasoned Tactician	Creature	Human Advisor	3	1	3	{3}, Exile the top four cards of your library: The next time a source of your choice would deal damage to you this turn, prevent that damage.	ALL
Kurkesh, Onakke Ancient	Creature	Ogre Spirit	4	4	3	Whenever you activate an ability of an artifact, if it isn't a mana ability, you may pay {R}. If you do, copy that ability. You may choose new targets for the copy.	M15
Moonlit Strider	Creature	Spirit	4	1	4	Sacrifice Moonlit Strider: Target creature you control gains protection from the color of your choice until end of turn. Soulshift 3 (When this creature dies, you may return target Spirit card with converted mana cost 3 or less from your graveyard to your hand.)	BOK MM2
Kei Takahashi	Creature	Human Cleric	4	2	2	{T}: Prevent the next 2 damage that would be dealt to target creature this turn.	LEG CHR ME3
Renegade Demon	Creature	Demon	5	5	3		AVR
Shu Grain Caravan	Creature	Human Soldier	3	2	2	When Shu Grain Caravan enters the battlefield, you gain 2 life.	PTK
Deeptread Merrow	Creature	Merfolk Rogue	2	2	1	{U}: Deeptread Merrow gains islandwalk until end of turn. (It can't be blocked as long as defending player controls an Island.)	LRW
Spinal Parasite	Artifact Creature	Insect	5	-1	-1	Sunburst (This enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.) Remove two +1/+1 counters from Spinal Parasite: Remove a counter from target permanent.	5DN
Guile	Creature	Elemental Incarnation	6	6	6	Guile can't be blocked except by three or more creatures. If a spell or ability you control would counter a spell, instead exile that spell and you may play that card without paying its mana cost. When Guile is put into a graveyard from anywhere, shuffle it into its owner's library.	LRW DD2 DD3_JVC MM2
Mothdust Changeling	Creature	Shapeshifter	1	1	1	Changeling (This card is every creature type.) Tap an untapped creature you control: Mothdust Changeling gains flying until end of turn.	MOR MMA
Enchanted Being	Creature	Human	3	2	2	Prevent all combat damage that would be dealt to Enchanted Being by enchanted creatures.	LEG
Cudgel Troll	Creature	Troll	4	4	3	{G}: Regenerate Cudgel Troll. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)	M10 M11 M12
Ambush Viper	Creature	Snake	2	2	1	Flash (You may cast this spell any time you could cast an instant.) Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)	ISD
Fathom Feeder	Creature	Eldrazi Drone	2	1	1	Devoid (This card has no color.) Deathtouch Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.) {3}{U}{B}: Draw a card. Each opponent exiles the top card of his or her library.	BFZ
Caravan Escort	Creature	Human Knight	1	1	1	Level up {2} ({2}: Put a level counter on this. Level up only as a sorcery.) LEVEL 1-4 2/2 LEVEL 5+ 5/5 First strike	ROE DDG DDP
Kelsinko Ranger	Creature	Human	1	1	1	{1}{W}: Target green creature gains first strike until end of turn.	ICE
Hunting Moa	Creature	Bird Beast	3	3	2	Echo {2}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.) When Hunting Moa enters the battlefield or dies, put a +1/+1 counter on target creature.	UDS TSB ARC
Yisan, the Wanderer Bard	Creature	Human Rogue	3	2	3	{2}{G}, {T}, Put a verse counter on Yisan, the Wanderer Bard: Search your library for a creature card with converted mana cost equal to the number of verse counters on Yisan, put it onto the battlefield, then shuffle your library.	M15
Cinder Giant	Creature	Giant	4	5	3	At the beginning of your upkeep, Cinder Giant deals 2 damage to each other creature you control.	WTH
Harvestguard Alseids	Enchantment Creature	Nymph	3	2	3	Constellation — Whenever Harvestguard Alseids or another enchantment enters the battlefield under your control, prevent all damage that would be dealt to target creature this turn.	JOU
Hand of Honor	Creature	Human Samurai	2	2	2	Protection from black Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)	SOK
Tenement Crasher	Creature	Beast	6	5	4	Haste	RTR
Undead Alchemist	Creature	Zombie	4	4	2	If a Zombie you control would deal combat damage to a player, instead that player puts that many cards from the top of his or her library into his or her graveyard. Whenever a creature card is put into an opponent's graveyard from his or her library, exile that card and put a 2/2 black Zombie creature token onto the battlefield.	ISD
Tempest Efreet	Creature	Efreet	4	3	3	Remove Tempest Efreet from your deck before playing if you're not playing for ante. {T}, Sacrifice Tempest Efreet: Target opponent may pay 10 life. If that player doesn't, he or she reveals a card at random from his or her hand. Exchange ownership of the revealed card and Tempest Efreet. Put the revealed card into your hand and Tempest Efreet from anywhere into that player's graveyard. This change in ownership is permanent.	LEG 4ED
Sigil Captain	Creature	Rhino Soldier	4	3	3	Whenever a creature enters the battlefield under your control, if that creature is 1/1, put two +1/+1 counters on it.	ARB CMD
Elvish Vanguard	Creature	Elf Warrior	2	1	1	Whenever another Elf enters the battlefield, put a +1/+1 counter on Elvish Vanguard.	ONS
Nightshade Schemers	Creature	Faerie Wizard	5	3	2	Flying Kinship — At the beginning of your upkeep, you may look at the top card of your library. If it shares a creature type with Nightshade Schemers, you may reveal it. If you do, each opponent loses 2 life.	MOR
Hedron-Field Purists	Creature	Human Cleric	3	0	3	Level up {2}{W} ({2}{W}: Put a level counter on this. Level up only as a sorcery.) LEVEL 1-4 1/4 If a source would deal damage to you or a creature you control, prevent 1 of that damage. LEVEL 5+ 2/5 If a source would deal damage to you or a creature you control, prevent 2 of that damage.	ROE
Krumar Bond-Kin	Creature	Orc Warrior	5	5	3	Morph {4}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	KTK
Windborn Muse	Creature	Spirit	4	2	3	Flying Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.	LGN 10E CMD
Rappelling Scouts	Creature	Human Rebel Scout	4	1	4	Flying {2}{W}: Rappelling Scouts gains protection from the color of your choice until end of turn.	MMQ
Rocket-Powered Turbo Slug	Creature	Slug	4	3	1	Super haste (This may attack the turn before you play it. (You may put this card into play from your hand, tapped and attacking, during your declare attackers step. If you do, you lose the game at the end of your next turn unless you pay this card's mana cost during that turn.))	UNH
Gang of Elk	Creature	Elk Beast	6	5	4	Whenever Gang of Elk becomes blocked, it gets +2/+2 until end of turn for each creature blocking it.	ULG 7ED
Messenger Falcons	Creature	Bird	4	2	2	Flying When Messenger Falcons enters the battlefield, draw a card.	ARB
Moroii	Creature	Vampire	4	4	4	Flying At the beginning of your upkeep, you lose 1 life.	RAV DDH
Walking Atlas	Artifact Creature	Construct	2	1	1	{T}: You may put a land card from your hand onto the battlefield.	WWK
Trinket Mage	Creature	Human Wizard	3	2	2	When Trinket Mage enters the battlefield, you may search your library for an artifact card with converted mana cost 1 or less, reveal that card, and put it into your hand. If you do, shuffle your library.	5DN DDF SOM
Æther Searcher	Artifact Creature	Construct	7	6	4	Reveal Æther Searcher as you draft it. Reveal the next card you draft and note its name.  When Æther Searcher enters the battlefield, you may search your hand and/or library for a card with a name noted as you drafted cards named Æther Searcher. You may cast it without paying its mana cost. If you searched your library this way, shuffle it.	CNS
Marchesa, the Black Rose	Creature	Human Wizard	4	3	3	Dethrone (Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.) Other creatures you control have dethrone. Whenever a creature you control with a +1/+1 counter on it dies, return that card to the battlefield under your control at the beginning of the next end step.	CNS VMA
Golgari Grave-Troll	Creature	Skeleton Troll	5	0	0	Golgari Grave-Troll enters the battlefield with a +1/+1 counter on it for each creature card in your graveyard. {1}, Remove a +1/+1 counter from Golgari Grave-Troll: Regenerate Golgari Grave-Troll. Dredge 6 (If you would draw a card, instead you may put exactly six cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)	RAV DDJ
Dirgur Nemesis	Creature	Serpent	6	6	5	Defender Megamorph {6}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)	DTK
Myr Enforcer	Artifact Creature	Myr	7	4	4	Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)	pFNM MRD HOP MMA MM2
Ghostly Changeling	Creature	Shapeshifter	3	2	2	Changeling (This card is every creature type.) {1}{B}: Ghostly Changeling gets +1/+1 until end of turn.	LRW MM2
Elvish Piper	Creature	Elf Shaman	4	1	1	{G}, {T}: You may put a creature card from your hand onto the battlefield.	UDS 7ED 8ED 9ED 10E M10
Kjeldoran Javelineer	Creature	Human Soldier	1	1	2	Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) {T}: Kjeldoran Javelineer deals damage equal to the number of age counters on it to target attacking or blocking creature.	CSP
Herald of Anafenza	Creature	Human Soldier	1	1	2	Outlast {2}{W} ({2}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.) Whenever you activate Herald of Anafenza's outlast ability, put a 1/1 white Warrior creature token onto the battlefield.	pPRE KTK
Stampede Driver	Creature	Human Spellshaper	1	1	1	{1}{G}, {T}, Discard a card: Creatures you control get +1/+1 and gain trample until end of turn.	NMS
Dream Thief	Creature	Faerie Rogue	3	2	1	Flying When Dream Thief enters the battlefield, draw a card if you've cast another blue spell this turn.	EVE
Goblin Fireslinger	Creature	Goblin Warrior	1	1	1	{T}: Goblin Fireslinger deals 1 damage to target player.	M12 MM2
Nath's Elite	Creature	Elf Warrior	5	4	2	All creatures able to block Nath's Elite do so. When Nath's Elite enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Nath's Elite. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)	LRW
Jukai Messenger	Creature	Human Monk	1	1	1	Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)	CHK
Venerable Kumo	Creature	Spirit	5	2	3	Reach (This creature can block creatures with flying.) Soulshift 4 (When this creature dies, you may return target Spirit card with converted mana cost 4 or less from your graveyard to your hand.)	CHK
Syphon Sliver	Creature	Sliver	3	2	2	Sliver creatures you control have lifelink. (Damage dealt by a Sliver creature you control also causes you to gain that much life.)	M14
Kobold Overlord	Creature	Kobold	2	1	2	First strike Other Kobold creatures you control have first strike.	LEG ME3
Haunted Guardian	Artifact Creature	Construct	2	2	1	Defender, first strike	AVR
Archetype of Courage	Enchantment Creature	Human Soldier	3	2	2	Creatures you control have first strike. Creatures your opponents control lose first strike and can't have or gain first strike.	BNG
Gluttonous Zombie	Creature	Zombie	5	3	3	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)	ONS 8ED 9ED
Wall of Resistance	Creature	Wall	2	0	3	Defender (This creature can't attack.) Flying At the beginning of each end step, if Wall of Resistance was dealt damage this turn, put a +0/+1 counter on it.	MIR
Sabertooth Alley Cat	Creature	Cat	3	2	1	Sabertooth Alley Cat attacks each turn if able. {1}{R}: Creatures without defender can't block Sabertooth Alley Cat this turn.	RAV
Flowstone Hellion	Creature	Hellion Beast	5	3	3	Haste {0}: Flowstone Hellion gets +1/-1 until end of turn.	STH VMA
Rift Elemental	Creature	Elemental	1	1	1	{1}{R}, Remove a time counter from a permanent you control or suspended card you own: Rift Elemental gets +2/+0 until end of turn.	FUT MMA
Darkslick Drake	Creature	Drake	4	2	4	Flying When Darkslick Drake dies, draw a card.	SOM
Fallen Angel	Creature	Angel	5	3	3	Flying Sacrifice a creature: Fallen Angel gets +2/+1 until end of turn.	LEG CHR 5ED 6ED BTD 7ED 8ED DDC CMD DD3_DVD
Takenuma Bleeder	Creature	Ogre Shaman	3	3	3	Whenever Takenuma Bleeder attacks or blocks, you lose 1 life if you don't control a Demon.	BOK
Wolverine Pack	Creature	Wolverine	4	2	4	Rampage 2 (Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.)	LEG 5ED
Augury Adept	Creature	Kithkin Wizard	3	2	2	Whenever Augury Adept deals combat damage to a player, reveal the top card of your library and put that card into your hand. You gain life equal to its converted mana cost.	SHM C13
Daxos of Meletis	Creature	Human Soldier	3	2	2	Daxos of Meletis can't be blocked by creatures with power 3 or greater. Whenever Daxos of Meletis deals combat damage to a player, exile the top card of that player's library. You gain life equal to that card's converted mana cost. Until end of turn, you may cast that card and you may spend mana as though it were mana of any color to cast it.	THS
Soulblade Djinn	Creature	Djinn	5	4	3	Flying Whenever you cast a noncreature spell, creatures you control get +1/+1 until end of turn.	ORI
Salvage Slasher	Artifact Creature	Human Rogue	2	1	1	Salvage Slasher gets +1/+0 for each artifact card in your graveyard.	CON
Marrow Chomper	Creature	Zombie Lizard	5	3	3	Devour 2 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with twice that many +1/+1 counters on it.) When Marrow Chomper enters the battlefield, you gain 2 life for each creature it devoured.	ARB
Hoverguard Observer	Creature	Drone	4	3	3	Flying Hoverguard Observer can block only creatures with flying.	DST
Creakwood Ghoul	Creature	Plant Zombie	5	3	3	{B/G}{B/G}: Exile target card from a graveyard. You gain 1 life.	EVE
Sylvan Hierophant	Creature	Human Cleric	2	1	2	When Sylvan Hierophant dies, exile Sylvan Hierophant, then return another target creature card from your graveyard to your hand.	WTH
Angelic Skirmisher	Creature	Angel	6	4	4	Flying At the beginning of each combat, choose first strike, vigilance, or lifelink. Creatures you control gain that ability until end of turn.	pMEI GTC
Overbeing of Myth	Creature	Spirit Avatar	5	*	*	Overbeing of Myth's power and toughness are each equal to the number of cards in your hand. At the beginning of your draw step, draw an additional card.	pPRE EVE
Skirsdag Flayer	Creature	Human Cleric	2	1	1	{3}{B}, {T}, Sacrifice a Human: Destroy target creature.	DKA
Luminous Angel	Creature	Angel	7	4	4	Flying At the beginning of your upkeep, you may put a 1/1 white Spirit creature token with flying onto the battlefield.	MRD DDC DD3_DVD
Fa'adiyah Seer	Creature	Human Shaman	2	1	1	{T}: Draw a card and reveal it. If it isn't a land card, discard it.	PLC
Vermiculos	Creature	Horror	5	1	1	Whenever an artifact enters the battlefield, Vermiculos gets +4/+4 until end of turn.	MRD
Ersatz Gnomes	Artifact Creature	Gnome	3	1	1	{T}: Target spell becomes colorless. {T}: Target permanent becomes colorless until end of turn.	MIR
Soltari Foot Soldier	Creature	Soltari Soldier	1	1	1	Shadow (This creature can block or be blocked by only creatures with shadow.)	TMP BRB
Clever Impersonator	Creature	Shapeshifter	4	0	0	You may have Clever Impersonator enter the battlefield as a copy of any nonland permanent on the battlefield.	KTK
Screeching Griffin	Creature	Griffin	4	2	2	Flying {R}: Target creature can't block Screeching Griffin this turn.	RAV
Caustic Caterpillar	Creature	Insect	1	1	1	{1}{G}, Sacrifice Caustic Caterpillar: Destroy target artifact or enchantment.	ORI
Ghostly Sentinel	Creature	Kor Spirit	5	3	3	Flying, vigilance	BFZ
Disciple of Bolas	Creature	Human Wizard	4	2	1	When Disciple of Bolas enters the battlefield, sacrifice another creature. You gain X life and draw X cards, where X is that creature's power.	M13 C14
Vindictive Mob	Creature	Human Berserker	6	5	5	When Vindictive Mob enters the battlefield, sacrifice a creature. Vindictive Mob can't be blocked by Saprolings.	RAV
Jaraku the Interloper	Creature	Spirit	3	3	4	Remove a ki counter from Jaraku the Interloper: Counter target spell unless its controller pays {2}.	BOK
Grave-Shell Scarab	Creature	Insect	5	4	4	{1}, Sacrifice Grave-Shell Scarab: Draw a card. Dredge 1 (If you would draw a card, instead you may put exactly one card from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)	RAV
Butcher of Malakir	Creature	Vampire Warrior	7	5	4	Flying Whenever Butcher of Malakir or another creature you control dies, each opponent sacrifices a creature.	WWK CMD DDK C14 DDP
Hellraiser Goblin	Creature	Goblin Berserker	3	2	2	Creatures you control have haste and attack each combat if able.	GTC DDN
Goblin Rimerunner	Creature	Goblin Warrior	3	2	2	{T}: Target creature can't block this turn. {S}: Goblin Rimerunner gains haste until end of turn. ({S} can be paid with one mana from a snow permanent.)	CSP
Drogskol Captain	Creature	Spirit Soldier	3	2	2	Flying Other Spirit creatures you control get +1/+1 and have hexproof. (They can't be the targets of spells or abilities your opponents control.)	DKA
Eldrazi Devastator	Creature	Eldrazi	8	8	9	Trample	BFZ
Goblin Chieftain	Creature	Goblin	3	2	2	Haste (This creature can attack and {T} as soon as it comes under your control.) Other Goblin creatures you control get +1/+1 and have haste.	M10 M11 M12
Stampeding Wildebeests	Creature	Antelope Beast	4	5	4	Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.) At the beginning of your upkeep, return a green creature you control to its owner's hand.	VIS 10E DDD DD3_GVL
Centaur Rootcaster	Creature	Centaur Druid	4	2	2	Whenever Centaur Rootcaster deals combat damage to a player, you may search your library for a basic land card and put that card onto the battlefield tapped. If you do, shuffle your library.	JUD
Penumbra Spider	Creature	Spider	4	2	4	Reach When Penumbra Spider dies, put a 2/4 black Spider creature token with reach onto the battlefield.	TSP CMD PC2 MMA
Zuo Ci, the Mocking Sage	Creature	Human Advisor	3	1	2	Hexproof (This creature can't be the target of spells or abilities your opponents control.) Zuo Ci, the Mocking Sage can't be blocked by creatures with horsemanship.	PTK
Deathgaze Cockatrice	Creature	Cockatrice	4	2	2	Flying Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)	M14
Captain of the Watch	Creature	Human Soldier	6	3	3	Vigilance (Attacking doesn't cause this creature to tap.) Other Soldier creatures you control get +1/+1 and have vigilance. When Captain of the Watch enters the battlefield, put three 1/1 white Soldier creature tokens onto the battlefield.	M10 M13 DDO
Haru-Onna	Creature	Spirit	4	2	1	When Haru-Onna enters the battlefield, draw a card. Whenever you cast a Spirit or Arcane spell, you may return Haru-Onna to its owner's hand.	SOK
Bonethorn Valesk	Creature	Beast	5	4	2	Whenever a permanent is turned face up, Bonethorn Valesk deals 1 damage to target creature or player.	SCG
Town Sentry	Creature	Human Soldier	3	2	2	Whenever Town Sentry blocks, it gets +0/+2 until end of turn.	PO2
Deranged Outcast	Creature	Human Rogue	2	2	1	{1}{G}, Sacrifice a Human: Put two +1/+1 counters on target creature.	DKA
Keldon Halberdier	Creature	Human Warrior	5	4	1	First strike Suspend 4—{R} (Rather than cast this card from your hand, you may pay {R} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)	TSP
Bull Hippo	Creature	Hippo	4	3	3	Islandwalk (This creature can't be blocked as long as defending player controls an Island.)	POR pPOD USG S99 7ED
Serrated Biskelion	Artifact Creature	Construct	3	2	2	{T}: Put a -1/-1 counter on Serrated Biskelion and a -1/-1 counter on target creature.	WTH DDF
Battlefield Scrounger	Creature	Centaur	5	3	3	Threshold — Put three cards from your graveyard on the bottom of your library: Battlefield Scrounger gets +3/+3 until end of turn. Activate this ability only once each turn, and only if seven or more cards are in your graveyard.	JUD
Llanowar Elite	Creature	Elf	1	1	1	Kicker {8} (You may pay an additional {8} as you cast this spell.) Trample If Llanowar Elite was kicked, it enters the battlefield with five +1/+1 counters on it.	INV
Eater of the Dead	Creature	Horror	5	3	4	{0}: If Eater of the Dead is tapped, exile target creature card from a graveyard and untap Eater of the Dead.	DRK MED
Firemantle Mage	Creature	Human Shaman Ally	3	2	2	Rally — Whenever Firemantle Mage or another Ally enters the battlefield under your control, creatures you control gain menace until end of turn. (A creature with menace can't be blocked except by two or more creatures.)	BFZ
Balduvian Dead	Creature	Zombie	4	2	3	{2}{R}, Exile a creature card from your graveyard: Put a 3/1 black and red Graveborn creature token with haste onto the battlefield. Sacrifice it at the beginning of the next end step.	ALL CST ME2
Bog Serpent	Creature	Serpent	6	5	5	Bog Serpent can't attack unless defending player controls a Swamp. When you control no Swamps, sacrifice Bog Serpent.	PLC
Argothian Swine	Creature	Boar	4	3	3	Trample	USG
Battle Brawler	Creature	Orc Warrior	2	2	2	As long as you control a red or white permanent, Battle Brawler gets +1/+0 and has first strike.	FRF
Hex Parasite	Artifact Creature	Insect	1	1	1	{X}{B/P}: Remove up to X counters from target permanent. For each counter removed this way, Hex Parasite gets +1/+0 until end of turn. ({B/P} can be paid with either {B} or 2 life.)	NPH
Dominating Licid	Creature	Licid	3	1	1	{1}{U}{U}, {T}: Dominating Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {U} to end this effect. You control enchanted creature.	EXO
Cylian Sunsinger	Creature	Elf Shaman	2	2	2	{R}{G}{W}: Cylian Sunsinger and each other creature with the same name as it get +3/+3 until end of turn.	CON
Grixis Sojourners	Creature	Zombie Ogre	4	4	3	When you cycle Grixis Sojourners or it dies, you may exile target card from a graveyard. Cycling {2}{B} ({2}{B}, Discard this card: Draw a card.)	ARB
Sindbad	Creature	Human	2	1	1	{T}: Draw a card and reveal it. If it isn't a land card, discard it.	ARN 4ED TSB
Kavu Primarch	Creature	Kavu	4	3	3	Kicker {4} (You may pay an additional {4} as you cast this spell.) Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) If Kavu Primarch was kicked, it enters the battlefield with four +1/+1 counters on it.	FUT MM2
