Name	Type	Subtype	CMC	Colors	Power	Toughness	Text	Sets
Voice of Duty	['Creature']	['Angel']	4	['White']	2	2	Flying, protection from green	['UDS']
Whipstitched Zombie	['Creature']	['Zombie']	2	['Black']	2	2	At the beginning of your upkeep, sacrifice Whipstitched Zombie unless you pay {B}.	['PCY']
Shoreline Ranger	['Creature']	['Bird', 'Soldier']	6	['Blue']	3	4	Flying Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, and put it into your hand. Then shuffle your library.)	['SCG', 'CNS']
Sparring Golem	['Artifact', 'Creature']	['Golem']	3	colorless	2	2	Whenever Sparring Golem becomes blocked, it gets +1/+1 until end of turn for each creature blocking it.	['INV']
Phytohydra	['Creature']	['Plant', 'Hydra']	5	['White', 'Green']	1	1	If damage would be dealt to Phytohydra, put that many +1/+1 counters on it instead.	['RAV']
Qal Sisma Behemoth	['Creature']	['Ogre', 'Warrior']	3	['Red']	5	5	Qal Sisma Behemoth can't attack or block unless you pay {2}.	['DTK']
Soul Collector	['Creature']	['Vampire']	5	['Black']	3	4	Flying Whenever a creature dealt damage by Soul Collector this turn dies, return that card to the battlefield under your control. Morph {B}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	['pPRE', 'SCG', 'TSB']
Nightscape Battlemage	['Creature']	['Zombie', 'Wizard']	3	['Black']	2	2	Kicker {2}{U} and/or {2}{R} (You may pay an additional {2}{U} and/or {2}{R} as you cast this spell.) When Nightscape Battlemage enters the battlefield, if it was kicked with its {2}{U} kicker, return up to two target nonblack creatures to their owners' hands. When Nightscape Battlemage enters the battlefield, if it was kicked with its {2}{R} kicker, destroy target land.	['PLS']
Seasoned Marshal	['Creature']	['Human', 'Soldier']	4	['White']	2	2	Whenever Seasoned Marshal attacks, you may tap target creature.	['POR', 'USG', 'BRB', '7ED', '8ED', '9ED', 'DDF']
Sen Triplets	['Artifact', 'Creature']	['Human', 'Wizard']	5	['White', 'Blue', 'Black']	3	3	At the beginning of your upkeep, choose target opponent. This turn, that player can't cast spells or activate abilities and plays with his or her hand revealed. You may play cards from that player's hand this turn.	['ARB']
Nested Ghoul	['Creature']	['Zombie', 'Warrior']	5	['Black']	4	2	Whenever a source deals damage to Nested Ghoul, put a 2/2 black Zombie creature token onto the battlefield.	['MBS']
Gempalm Sorcerer	['Creature']	['Human', 'Wizard']	3	['Blue']	2	2	Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.) When you cycle Gempalm Sorcerer, Wizard creatures gain flying until end of turn.	['LGN']
Mantis Engine	['Artifact', 'Creature']	['Insect']	5	colorless	3	3	{2}: Mantis Engine gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.) {2}: Mantis Engine gains first strike until end of turn. (It deals combat damage before creatures without first strike.)	['UDS', '10E']
Zephyr Scribe	['Creature']	['Human', 'Monk']	3	['Blue']	2	1	{U}, {T}: Draw a card, then discard a card. Whenever you cast a noncreature spell, untap Zephyr Scribe.	['DTK']
Undead Leotau	['Creature']	['Zombie', 'Cat']	6	['Black']	3	4	{R}: Undead Leotau gets +1/-1 until end of turn. Unearth {2}{B} ({2}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)	['ALA']
Bearer of the Heavens	['Creature']	['Giant']	8	['Red']	10	10	When Bearer of the Heavens dies, destroy all permanents at the beginning of the next end step.	['JOU']
Kederekt Creeper	['Creature']	['Horror']	3	['Blue', 'Black', 'Red']	2	3	Menace (This creature can't be blocked except by two or more creatures.) Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)	['ALA']
Bloodshot Trainee	['Creature']	['Goblin', 'Warrior']	4	['Red']	2	3	{T}: Bloodshot Trainee deals 4 damage to target creature. Activate this ability only if Bloodshot Trainee's power is 4 or greater.	['FUT', 'SOM', 'MM2']
Shock Troops	['Creature']	['Human', 'Soldier']	4	['Red']	2	2	Sacrifice Shock Troops: Shock Troops deals 2 damage to target creature or player.	['MMQ', '8ED']
Skyshooter	['Creature']	['Centaur', 'Archer']	2	['Green']	1	2	Reach (This creature can block creatures with flying.) {T}, Sacrifice Skyshooter: Destroy target attacking or blocking creature with flying.	['ODY']
Thalakos Mistfolk	['Creature']	['Thalakos', 'Illusion']	3	['Blue']	2	1	Shadow (This creature can block or be blocked by only creatures with shadow.) {U}: Put Thalakos Mistfolk on top of its owner's library.	['TMP']
Cadaverous Knight	['Creature']	['Zombie', 'Knight']	3	['Black']	2	2	Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) {1}{B}{B}: Regenerate Cadaverous Knight.	['MIR', 'HOP']
Essence Sliver	['Creature']	['Sliver']	4	['White']	3	3	Whenever a Sliver deals damage, its controller gains that much life.	['LGN', 'TSB']
Crabapple Cohort	['Creature']	['Treefolk', 'Warrior']	5	['Green']	4	4	Crabapple Cohort gets +1/+1 as long as you control another green creature.	['SHM']
Viridian Betrayers	['Creature']	['Elf', 'Warrior']	3	['Green']	3	1	Viridian Betrayers has infect as long as an opponent is poisoned. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)	['NPH']
Leonin Den-Guard	['Creature']	['Cat', 'Soldier']	2	['White']	1	3	As long as Leonin Den-Guard is equipped, it gets +1/+1 and has vigilance.	['MRD']
Nettling Imp	['Creature']	['Imp']	3	['Black']	1	1	{T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That creature attacks this turn if able. If it doesn't, destroy it at the beginning of the next end step. Activate this ability only during an opponent's turn, before attackers are declared.	['LEA', 'LEB', '2ED', 'CED', 'CEI', '3ED']
Sol'kanar the Swamp King	['Creature']	['Demon']	5	['Blue', 'Black', 'Red']	5	5	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) Whenever a player casts a black spell, you gain 1 life.	['LEG', 'CHR', 'TSB']
Martyrs of Korlis	['Creature']	['Human']	5	['White']	1	6	As long as Martyrs of Korlis is untapped, all damage that would be dealt to you by artifacts is dealt to Martyrs of Korlis instead.	['ATQ', 'ME4']
Baleful Force	['Creature']	['Elemental']	8	['Black']	7	7	At the beginning of each upkeep, you draw a card and you lose 1 life.	['C13', 'VMA']
Knight of the Mists	['Creature']	['Human', 'Knight']	3	['Blue']	2	2	Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) When Knight of the Mists enters the battlefield, you may pay {U}. If you don't, destroy target Knight and it can't be regenerated.	['VIS']
Norwood Warrior	['Creature']	['Elf', 'Warrior']	3	['Green']	2	2	Whenever Norwood Warrior becomes blocked, it gets +1/+1 until end of turn.	['PO2']
Furystoke Giant	['Creature']	['Giant', 'Warrior']	5	['Red']	3	3	When Furystoke Giant enters the battlefield, other creatures you control gain "{T}: This creature deals 2 damage to target creature or player" until end of turn. Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)	['SHM']
Bioplasm	['Creature']	['Ooze']	5	['Green']	4	4	Whenever Bioplasm attacks, exile the top card of your library. If it's a creature card, Bioplasm gets +X/+Y until end of turn, where X is the exiled creature card's power and Y is its toughness.	['GPT']
Skarrg Guildmage	['Creature']	['Human', 'Shaman']	2	['Red', 'Green']	2	2	{R}{G}: Creatures you control gain trample until end of turn. {1}{R}{G}: Target land you control becomes a 4/4 Elemental creature until end of turn. It's still a land.	['GTC']
Trenching Steed	['Creature']	['Horse', 'Rebel']	4	['White']	2	3	Sacrifice a land: Trenching Steed gets +0/+3 until end of turn.	['PCY']
Caterwauling Boggart	['Creature']	['Goblin', 'Shaman']	4	['Red']	2	2	Goblins you control and Elementals you control have menace. (They can't be blocked except by two or more creatures.)	['LRW']
Kozilek's Sentinel	['Creature']	['Eldrazi', 'Drone']	2	colorless	1	4	Devoid (This card has no color.) Whenever you cast a colorless spell, Kozilek's Sentinel gets +1/+0 until end of turn.	['BFZ']
Sanguine Praetor	['Creature']	['Avatar', 'Praetor']	8	['Black']	7	5	{B}, Sacrifice a creature: Destroy each creature with the same converted mana cost as the sacrificed creature.	['GPT']
Glowering Rogon	['Creature']	['Beast']	6	['Green']	4	4	Amplify 1 (As this creature enters the battlefield, put a +1/+1 counter on it for each Beast card you reveal in your hand.)	['LGN']
Skittering Horror	['Creature']	['Horror']	3	['Black']	4	3	When you cast a creature spell, sacrifice Skittering Horror.	['UDS', 'BTD']
Glass Golem	['Artifact', 'Creature']	['Golem']	5	colorless	6	2	NA	['RAV']
Wizard Mentor	['Creature']	['Human', 'Wizard']	3	['Blue']	2	2	{T}: Return Wizard Mentor and target creature you control to their owner's hand.	['USG']
Hydra Omnivore	['Creature']	['Hydra']	6	['Green']	8	8	Whenever Hydra Omnivore deals combat damage to an opponent, it deals that much damage to each other opponent.	['CMD', 'CNS']
Akroan Jailer	['Creature']	['Human', 'Soldier']	1	['White']	1	1	{2}{W}, {T}: Tap target creature.	['ORI']
Lava Zombie	['Creature']	['Zombie']	3	['Black', 'Red']	4	3	When Lava Zombie enters the battlefield, return a black or red creature you control to its owner's hand. {2}: Lava Zombie gets +1/+0 until end of turn.	['PLS']
Necropolis	['Artifact', 'Creature']	['Wall']	5	colorless	0	1	Defender (This creature can't attack.) Exile a creature card from your graveyard: Put X +0/+1 counters on Necropolis, where X is the exiled card's converted mana cost.	['DRK']
Glory	['Creature']	['Incarnation']	5	['White']	3	3	Flying {2}{W}: Choose a color. Creatures you control gain protection from the chosen color until end of turn. Activate this ability only if Glory is in your graveyard.	['pPRE', 'JUD']
Arashi, the Sky Asunder	['Creature']	['Spirit']	5	['Green']	5	5	{X}{G}, {T}: Arashi, the Sky Asunder deals X damage to target creature with flying. Channel — {X}{G}{G}, Discard Arashi: Arashi deals X damage to each creature with flying.	['SOK']
Whiptail Wurm	['Creature']	['Wurm']	7	['Green']	8	5	NA	['POR', 'S99', 'ME4']
Greenwarden of Murasa	['Creature']	['Elemental']	6	['Green']	5	4	When Greenwarden of Murasa enters the battlefield, you may return target card from your graveyard to your hand. When Greenwarden of Murasa dies, you may exile it. If you do, return target card from your graveyard to your hand.	['BFZ']
Esper Battlemage	['Artifact', 'Creature']	['Human', 'Wizard']	3	['Blue']	2	2	{W}, {T}: Prevent the next 2 damage that would be dealt to you this turn. {B}, {T}: Target creature gets -1/-1 until end of turn.	['ALA']
Tainted Specter	['Creature']	['Specter']	4	['Black']	2	2	Flying {1}{B}{B}, {T}: Target player discards a card unless he or she puts a card from his or her hand on top of his or her library. If that player discards a card this way, Tainted Specter deals 1 damage to each creature and each player. Activate this ability only any time you could cast a sorcery.	['MIR']
Timely Hordemate	['Creature']	['Human', 'Warrior']	4	['White']	3	2	Raid — When Timely Hordemate enters the battlefield, if you attacked with a creature this turn, return target creature card with converted mana cost 2 or less from your graveyard to the battlefield.	['KTK']
Abyssal Gatekeeper	['Creature']	['Horror']	2	['Black']	1	1	When Abyssal Gatekeeper dies, each player sacrifices a creature.	['WTH', 'DDC', 'DD3_DVD']
Cautery Sliver	['Creature']	['Sliver']	2	['White', 'Red']	2	2	All Slivers have "{1}, Sacrifice this permanent: This permanent deals 1 damage to target creature or player." All Slivers have "{1}, Sacrifice this permanent: Prevent the next 1 damage that would be dealt to target Sliver creature or player this turn."	['PLC']
Cartographer	['Creature']	['Human']	3	['Green']	2	2	When Cartographer enters the battlefield, you may return target land card from your graveyard to your hand.	['EXO', 'ODY']
Artful Looter	['Creature']	['Human', 'Wizard']	3	['Blue']	1	2	{T}: Draw a card, then discard a card. Whenever a permanent comes into play that shares an artist with another permanent you control, untap Artful Looter.	['UNH']
Chasm Guide	['Creature']	['Goblin', 'Scout', 'Ally']	4	['Red']	3	2	Rally — Whenever Chasm Guide or another Ally enters the battlefield under your control, creatures you control gain haste until end of turn.	['BFZ']
Souldrinker	['Creature']	['Spirit']	4	['Black']	2	2	Pay 3 life: Put a +1/+1 counter on Souldrinker.	['TMP', 'DDC', 'DD3_DVD']
Carnage Gladiator	['Creature']	['Skeleton', 'Warrior']	4	['Black', 'Red']	4	2	Whenever a creature blocks, that creature's controller loses 1 life. {1}{B}{R}: Regenerate Carnage Gladiator.	['DGM']
Ascendant Evincar	['Creature']	['Vampire']	6	['Black']	3	3	Flying (This creature can't be blocked except by creatures with flying or reach.) Other black creatures get +1/+1. Nonblack creatures get -1/-1.	['NMS', '10E', 'HOP', 'DPA']
Talruum Piper	['Creature']	['Minotaur']	5	['Red']	3	3	All creatures with flying able to block Talruum Piper do so.	['VIS']
Icatian Crier	['Creature']	['Human', 'Spellshaper']	3	['White']	1	1	{1}{W}, {T}, Discard a card: Put two 1/1 white Citizen creature tokens onto the battlefield.	['TSP']
Urborg Emissary	['Creature']	['Human', 'Wizard']	3	['Black']	3	1	Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.) When Urborg Emissary enters the battlefield, if it was kicked, return target permanent to its owner's hand.	['INV']
Giant Mantis	['Creature']	['Insect']	4	['Green']	2	4	Reach (This creature can block creatures with flying.)	['MIR', 'VMA', 'BFZ']
Scion of Vitu-Ghazi	['Creature']	['Elemental']	5	['White']	4	4	When Scion of Vitu-Ghazi enters the battlefield, if you cast it from your hand, put a 1/1 white Bird creature token with flying onto the battlefield, then populate. (Put a token onto the battlefield that's a copy of a creature token you control.)	['DGM']
Viashino Shanktail	['Creature']	['Viashino', 'Warrior']	4	['Red']	3	1	First strike Bloodrush — {2}{R}, Discard Viashino Shanktail: Target attacking creature gets +3/+1 and gains first strike until end of turn.	['GTC']
Magus of the Mirror	['Creature']	['Human', 'Wizard']	6	['Black']	4	2	{T}, Sacrifice Magus of the Mirror: Exchange life totals with target opponent. Activate this ability only during your upkeep.	['TSP', 'CNS']
Gobbling Ooze	['Creature']	['Ooze']	5	['Green']	3	3	{G}, Sacrifice another creature: Put a +1/+1 counter on Gobbling Ooze.	['RTR']
Scalding Salamander	['Creature']	['Salamander']	3	['Red']	2	1	Whenever Scalding Salamander attacks, you may have it deal 1 damage to each creature without flying defending player controls.	['EXO']
Oona, Queen of the Fae	['Creature']	['Faerie', 'Wizard']	6	['Blue', 'Black']	5	5	Flying {X}{U/B}: Choose a color. Target opponent exiles the top X cards of his or her library. For each card of the chosen color exiled this way, put a 1/1 blue and black Faerie Rogue creature token with flying onto the battlefield.	['SHM', 'V11', 'MMA']
Gurmag Swiftwing	['Creature']	['Bat']	2	['Black']	1	2	Flying, first strike, haste	['KTK']
Draining Whelk	['Creature']	['Illusion']	6	['Blue']	1	1	Flash (You may cast this spell any time you could cast an instant.) Flying When Draining Whelk enters the battlefield, counter target spell. Put X +1/+1 counters on Draining Whelk, where X is that spell's converted mana cost.	['TSP']
Vorapede	['Creature']	['Insect']	5	['Green']	5	4	Vigilance, trample Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	['DKA']
Coast Watcher	['Creature']	['Bird', 'Soldier']	2	['Blue']	1	1	Flying, protection from green	['SCG']
Avacynian Priest	['Creature']	['Human', 'Cleric']	2	['White']	1	2	{1}, {T}: Tap target non-Human creature.	['ISD']
Pus Kami	['Creature']	['Spirit']	7	['Black']	3	3	{B}, Sacrifice Pus Kami: Destroy target nonblack creature. Soulshift 6 (When this creature dies, you may return target Spirit card with converted mana cost 6 or less from your graveyard to your hand.)	['BOK']
Lorthos, the Tidemaker	['Creature']	['Octopus']	8	['Blue']	8	8	Whenever Lorthos, the Tidemaker attacks, you may pay {8}. If you do, tap up to eight target permanents. Those permanents don't untap during their controllers' next untap steps.	['ZEN', 'C14']
Breathstealer	['Creature']	['Nightstalker']	3	['Black']	2	2	{B}: Breathstealer gets +1/-1 until end of turn.	['MIR']
Nearheath Stalker	['Creature']	['Vampire', 'Rogue']	5	['Red']	4	1	Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)	['pWPN', 'DKA']
Mundungu	['Creature']	['Human', 'Wizard']	3	['Blue', 'Black']	1	1	{T}: Counter target spell unless its controller pays {1} and 1 life.	['VIS']
Angel of Finality	['Creature']	['Angel']	4	['White']	3	4	Flying When Angel of Finality enters the battlefield, exile all cards from target player's graveyard.	['C13']
Cradle Guard	['Creature']	['Treefolk']	3	['Green']	4	4	Trample Echo {1}{G}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)	['USG']
Muck Drubb	['Creature']	['Beast']	5	['Black']	3	3	Flash (You may cast this spell any time you could cast an instant.) When Muck Drubb enters the battlefield, change the target of target spell that targets only a single creature to Muck Drubb. Madness {2}{B} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)	['PLC']
Vampire Bats	['Creature']	['Bat']	1	['Black']	0	1	Flying (This creature can't be blocked except by creatures with flying or reach.) {B}: Vampire Bats gets +1/+0 until end of turn. Activate this ability no more than twice each turn.	['LEG', '4ED', 'RQS', 'ITP', '5ED', '10E', 'DDD', 'DD3_GVL']
Crazed Goblin	['Creature']	['Goblin', 'Warrior']	1	['Red']	1	1	Crazed Goblin attacks each turn if able.	['DST']
Wanderwine Prophets	['Creature']	['Merfolk', 'Wizard']	6	['Blue']	4	4	Champion a Merfolk (When this enters the battlefield, sacrifice it unless you exile another Merfolk you control. When this leaves the battlefield, that card returns to the battlefield.) Whenever Wanderwine Prophets deals combat damage to a player, you may sacrifice a Merfolk. If you do, take an extra turn after this one.	['LRW']
Tragic Poet	['Creature']	['Human']	1	['White']	1	1	{T}, Sacrifice Tragic Poet: Return target enchantment card from your graveyard to your hand.	['ULG']
_____	['Creature']	['Shapeshifter']	2	['Blue']	1	1	{1}: This card's name becomes the name of your choice. Play this ability anywhere, anytime.	['UNH']
Sea Snidd	['Creature']	['Beast']	5	['Blue']	3	3	{T}: Target land becomes the basic land type of your choice until end of turn.	['PLS']
Tuktuk Scrapper	['Creature']	['Goblin', 'Artificer', 'Ally']	4	['Red']	2	2	Whenever Tuktuk Scrapper or another Ally enters the battlefield under your control, you may destroy target artifact. If that artifact is put into a graveyard this way, Tuktuk Scrapper deals damage to that artifact's controller equal to the number of Allies you control.	['WWK']
Spiny Starfish	['Creature']	['Starfish']	3	['Blue']	0	1	{U}: Regenerate Spiny Starfish. At the beginning of each end step, if Spiny Starfish regenerated this turn, put a 0/1 blue Starfish creature token onto the battlefield for each time it regenerated this turn.	['ALL', 'ME3']
Gruul Guildmage	['Creature']	['Human', 'Shaman']	2	['Red', 'Green']	2	2	({R/G} can be paid with either {R} or {G}.) {3}{R}, Sacrifice a land: Gruul Guildmage deals 2 damage to target player. {3}{G}: Target creature gets +2/+2 until end of turn.	['pREL', 'GPT']
Pardic Arsonist	['Creature']	['Human', 'Barbarian']	4	['Red']	3	3	Threshold — As long as seven or more cards are in your graveyard, Pardic Arsonist has "When Pardic Arsonist enters the battlefield, it deals 3 damage to target creature or player."	['TOR']
Shaleskin Bruiser	['Creature']	['Beast']	7	['Red']	4	4	Trample Whenever Shaleskin Bruiser attacks, it gets +3/+0 until end of turn for each other attacking Beast.	['ONS']
Mogis, God of Slaughter	['Enchantment', 'Creature']	['God']	4	['Black', 'Red']	7	5	Indestructible As long as your devotion to black and red is less than seven, Mogis isn't a creature. At the beginning of each opponent's upkeep, Mogis deals 2 damage to that player unless he or she sacrifices a creature.	['BNG']
Lifesmith	['Creature']	['Human', 'Artificer']	2	['Green']	2	1	Whenever you cast an artifact spell, you may pay {1}. If you do, you gain 3 life.	['SOM']
Witness of the Ages	['Artifact', 'Creature']	['Golem']	6	colorless	4	4	Morph {5} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	['KTK']
Zodiac Rat	['Creature']	['Rat']	1	['Black']	1	1	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	['PTK']
Virulent Sliver	['Creature']	['Sliver']	1	['Green']	1	1	All Sliver creatures have poisonous 1. (Whenever a Sliver deals combat damage to a player, that player gets a poison counter. A player with ten or more poison counters loses the game.)	['FUT', 'H09']
Afflicted Deserter	['Creature']	['Human', 'Werewolf']	4	['Red']	3	2	At the beginning of each upkeep, if no spells were cast last turn, transform Afflicted Deserter.	['DKA']
Magus of the Jar	['Creature']	['Human', 'Wizard']	5	['Blue']	3	3	{T}, Sacrifice Magus of the Jar: Each player exiles all cards from his or her hand face down and draws seven cards. At the beginning of the next end step, each player discards his or her hand and returns to his or her hand each card he or she exiled this way.	['TSP']
Copper Gnomes	['Artifact', 'Creature']	['Gnome']	2	colorless	1	1	{4}, Sacrifice Copper Gnomes: You may put an artifact card from your hand onto the battlefield.	['USG']
Ukud Cobra	['Creature']	['Snake']	4	['Black']	2	5	Deathtouch	['DTK']
Patagia Viper	['Creature']	['Snake']	4	['Green']	2	1	Flying When Patagia Viper enters the battlefield, put two 1/1 green and blue Snake creature tokens onto the battlefield. When Patagia Viper enters the battlefield, sacrifice it unless {U} was spent to cast it.	['DIS']
Patron of the Kitsune	['Creature']	['Spirit']	6	['White']	5	6	Fox offering (You may cast this card any time you could cast an instant by sacrificing a Fox and paying the difference in mana costs between this and the sacrificed Fox. Mana cost includes color.) Whenever a creature attacks, you may gain 1 life.	['BOK']
Lim-Dûl the Necromancer	['Creature']	['Human', 'Wizard']	7	['Black']	4	4	Whenever a creature an opponent controls dies, you may pay {1}{B}. If you do, return that card to the battlefield under your control. If it's a creature, it's a Zombie in addition to its other creature types. {1}{B}: Regenerate target Zombie.	['TSP']
Pit Scorpion	['Creature']	['Scorpion']	3	['Black']	1	1	Whenever Pit Scorpion deals damage to a player, that player gets a poison counter. (A player with ten or more poison counters loses the game.)	['LEG', '4ED', '5ED']
Dragon's Eye Savants	['Creature']	['Human', 'Wizard']	2	['Blue']	0	6	Morph—Reveal a blue card in your hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Dragon's Eye Savants is turned face up, look at target opponent's hand.	['KTK']
Bola Warrior	['Creature']	['Human', 'Spellshaper', 'Warrior']	2	['Red']	1	1	{R}, {T}, Discard a card: Target creature can't block this turn.	['NMS']
Sheoldred, Whispering One	['Creature']	['Praetor']	7	['Black']	6	6	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.) At the beginning of your upkeep, return target creature card from your graveyard to the battlefield. At the beginning of each opponent's upkeep, that player sacrifices a creature.	['pPRE', 'NPH']
Brighthearth Banneret	['Creature']	['Elemental', 'Warrior']	2	['Red']	1	1	Elemental spells and Warrior spells you cast cost {1} less to cast. Reinforce 1—{1}{R} ({1}{R}, Discard this card: Put a +1/+1 counter on target creature.)	['MOR']
Golgari Decoy	['Creature']	['Elf', 'Rogue']	4	['Green']	2	2	All creatures able to block Golgari Decoy do so. Scavenge {3}{G}{G} ({3}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)	['RTR']
Giant Spider	['Creature']	['Spider']	4	['Green']	2	4	Reach (This creature can block creatures with flying.)	['LEA', 'LEB', '2ED', 'CED', 'CEI', '3ED', '4ED', '5ED', 'POR', 'ATH', '6ED', '7ED', '8ED', '9ED', '10E', 'M10', 'DPA', 'M11', 'M12', 'M14']
Rhox Meditant	['Creature']	['Rhino', 'Monk']	4	['White']	2	4	When Rhox Meditant enters the battlefield, if you control a green permanent, draw a card.	['CON']
Everglove Courier	['Creature']	['Elf']	3	['Green']	2	1	You may choose not to untap Everglove Courier during your untap step. {2}{G}, {T}: Target Elf creature gets +2/+2 and has trample for as long as Everglove Courier remains tapped.	['ONS']
Augur il-Vec	['Creature']	['Human', 'Cleric']	2	['White']	1	3	Shadow (This creature can block or be blocked by only creatures with shadow.) Sacrifice Augur il-Vec: You gain 4 life. Activate this ability only during your upkeep.	['FUT']
Steel Golem	['Artifact', 'Creature']	['Golem']	3	colorless	3	4	You can't cast creature spells.	['WTH', '10E']
Trained Pronghorn	['Creature']	['Antelope']	2	['White']	1	1	Discard a card: Prevent all damage that would be dealt to Trained Pronghorn this turn.	['JUD']
Salvage Drone	['Creature']	['Eldrazi', 'Drone']	1	colorless	1	1	Devoid (This card has no color.) Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.) When Salvage Drone dies, you may draw a card. If you do, discard a card.	['BFZ']
Advanced Hoverguard	['Creature']	['Drone']	4	['Blue']	2	2	Flying {U}: Advanced Hoverguard gains shroud until end of turn. (It can't be the target of spells or abilities.)	['5DN']
Akki Raider	['Creature']	['Goblin', 'Warrior']	2	['Red']	2	1	Whenever a land is put into a graveyard from the battlefield, Akki Raider gets +1/+0 until end of turn.	['BOK']
Capashen Unicorn	['Creature']	['Unicorn']	2	['White']	1	2	{1}{W}, {T}, Sacrifice Capashen Unicorn: Destroy target artifact or enchantment.	['INV']
Sunhome Guildmage	['Creature']	['Human', 'Wizard']	2	['White', 'Red']	2	2	{1}{R}{W}: Creatures you control get +1/+0 until end of turn. {2}{R}{W}: Put a 1/1 red and white Soldier creature token with haste onto the battlefield.	['GTC']
Fascist Art Director	['Creature']	['Human', 'Horror']	3	['White']	2	2	{W}{W}: Fascist Art Director gains protection from the artist of your choice until end of turn..	['UNH']
Glimmerpoint Stag	['Creature']	['Elk']	4	['White']	3	3	Vigilance When Glimmerpoint Stag enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.	['SOM', 'CNS']
Crash of Rhinos	['Creature']	['Rhino']	8	['Green']	8	4	Trample	['MIR', 'BTD']
Vindictive Mob	['Creature']	['Human', 'Berserker']	6	['Black']	5	5	When Vindictive Mob enters the battlefield, sacrifice a creature. Vindictive Mob can't be blocked by Saprolings.	['RAV']
Shadow Alley Denizen	['Creature']	['Vampire', 'Rogue']	1	['Black']	1	1	Whenever another black creature enters the battlefield under your control, target creature gains intimidate until end of turn. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)	['GTC', 'DDM']
Dawnfluke	['Creature']	['Elemental']	4	['White']	0	3	Flash When Dawnfluke enters the battlefield, prevent the next 3 damage that would be dealt to target creature or player this turn. Evoke {W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)	['LRW']
Giant Slug	['Creature']	['Slug']	2	['Black']	1	1	{5}: At the beginning of your next upkeep, choose a basic land type. Giant Slug gains landwalk of the chosen type until the end of that turn. (It can't be blocked as long as defending player controls a land of that type.)	['LEG', 'CHR']
Moggcatcher	['Creature']	['Human', 'Mercenary']	4	['Red']	2	2	{3}, {T}: Search your library for a Goblin permanent card and put it onto the battlefield. Then shuffle your library.	['NMS']
Hand of the Praetors	['Creature']	['Zombie']	4	['Black']	3	2	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) Other creatures you control with infect get +1/+1. Whenever you cast a creature spell with infect, target player gets a poison counter.	['SOM']
Horde of Boggarts	['Creature']	['Goblin']	4	['Red']	0	0	Menace (This creature can't be blocked except by two or more creatures.) Horde of Boggarts's power and toughness are each equal to the number of red permanents you control.	['SHM']
Syndicate Enforcer	['Creature']	['Human', 'Rogue']	4	['Black']	3	2	Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)	['GTC']
Duergar Mine-Captain	['Creature']	['Dwarf', 'Soldier']	3	['White', 'Red']	2	1	{1}{R/W}, {Q}: Attacking creatures get +1/+0 until end of turn. ({Q} is the untap symbol.)	['EVE']
Crovax the Cursed	['Creature']	['Vampire']	4	['Black']	0	0	Crovax the Cursed enters the battlefield with four +1/+1 counters on it. At the beginning of your upkeep, you may sacrifice a creature. If you do, put a +1/+1 counter on Crovax. If you don't, remove a +1/+1 counter from Crovax. {B}: Crovax gains flying until end of turn.	['STH', 'VMA', 'TPR']
